task,dim,budget,seed,variant,final_best,auc_best,regret,runtime_s,n_leaves,global_coherence,potential_std,coherence_std,potential_scale
Rastrigin,2,200,8,potential,2.280452907329142,5.547239299789712,2.280452907329142,0.14552568500039342,26.0,0.5502275902938576,0.22887796893290088,0.14263667859211343,0.1672578756785458
Rastrigin,2,200,8,both,1.8996564036061017,5.501543719342948,1.8996564036061017,0.1380938120000792,23.0,0.6273445388453847,0.22972027685212817,0.18325693161792117,0.42405731435513094
Rastrigin,2,200,9,none,2.3883946483573446,4.556113834373833,2.3883946483573446,0.09966893400087429,22.0,,,,
Rastrigin,2,200,9,coherence,1.3348579535873917,3.9347293510959633,1.3348579535873917,0.13934699300079956,24.0,0.5879514513521222,0.21425891504047717,0.15769772423517311,0.29287833300256705
Rastrigin,2,200,9,potential,2.614311600720171,4.017503057837525,2.614311600720171,0.146276757999658,25.0,0.6470325154314664,0.22389636379396627,0.1689306581285761,0.4896182763867833
Rastrigin,2,200,9,both,3.7781120275804128,4.9174403529718305,3.7781120275804128,0.14863775199955853,24.0,0.7132157579173217,0.20055433903781933,0.1375529020589058,0.7100084738646814
Rastrigin,2,200,10,none,4.1080365873232125,7.195135846961555,4.1080365873232125,0.0997646790001454,22.0,,,,
Rastrigin,2,200,10,coherence,1.3013700161900985,6.35313587562162,1.3013700161900985,0.13884431399856112,23.0,0.6029482980814016,0.20825026943458433,0.13890472052377473,0.34281783261106735
Rastrigin,2,200,10,potential,4.087363532182753,7.187176720732476,4.087363532182753,0.14306313499946555,22.0,0.49842969827148453,0.23760829619395304,0.14863695026757687,0.0
Rastrigin,2,200,10,both,4.1080365873232125,7.195135846961555,4.1080365873232125,0.12956063500132586,19.0,0.5841105733750178,0.22088395553105272,0.16453953972776958,0.28008820933880935
Rastrigin,2,200,11,none,1.0520476413504625,1.2029767592858533,1.0520476413504625,0.09360157999981311,24.0,,,,
Rastrigin,2,200,11,coherence,0.014094738713971822,0.908239757194612,0.014094738713971822,0.13097675599965442,19.0,0.617571092135422,0.22650813764596117,0.14637483433423032,0.3915117368109554
Rastrigin,2,200,11,potential,1.0089841029303486,1.1574116187825916,1.0089841029303486,0.13548657299907063,20.0,0.6410402123899975,0.22689199316579484,0.11875006925175761,0.4696639072586918
Rastrigin,2,200,11,both,0.014094738713971822,0.908239757194612,0.014094738713971822,0.12968802300019888,19.0,0.617571092135422,0.22650813764596117,0.14637483433423032,0.3915117368109554
Rastrigin,2,200,12,none,2.2773971876688464,6.630377186651442,2.2773971876688464,0.10163489600017783,22.0,,,,
Rastrigin,2,200,12,coherence,3.11179075635539,6.086017069289159,3.11179075635539,0.13040619999992487,20.0,0.5862364741520708,0.22637938185965176,0.14069902955839927,0.2871674589263958
Rastrigin,2,200,12,potential,5.103524581348427,7.304417317893933,5.103524581348427,0.1674601939994318,23.0,0.5,0.22867752410997627,0.17921421859692396,0.0
Rastrigin,2,200,12,both,4.7956819119509895,7.362087674647651,4.7956819119509895,0.1676778450000711,22.0,0.6942481358023136,0.2733893987998775,0.18795377368317334,0.6468462922217043
Rastrigin,2,200,13,none,1.1151972710439573,3.870764837448691,1.1151972710439573,0.09642822099885962,21.0,,,,
Rastrigin,2,200,13,coherence,1.1618032665030853,3.7585759115385553,1.1618032665030853,0.13334682499953487,22.0,0.5796783502204433,0.2710164981852219,0.1550656972898781,0.26532890623407634
Rastrigin,2,200,13,potential,0.9973687571231906,3.7986533402093294,0.9973687571231906,0.17285705600079382,21.0,0.5452411088063163,0.24719991768773047,0.15660626815909703,0.15065289232503318
Rastrigin,2,200,13,both,0.4898681745893967,3.701461428725892,0.4898681745893967,0.15552818899959675,21.0,0.6536975244900921,0.23653976877673222,0.13612014998564573,0.5118127565520068
Rastrigin,2,200,14,none,2.5107473076805746,4.841329686865566,2.5107473076805746,0.09437886199884815,23.0,,,,
Rastrigin,2,200,14,coherence,2.0048270610848107,4.582782189876826,2.0048270610848107,0.14137580199894728,22.0,0.5982860220773131,0.23488045636615118,0.12216274764889795,0.32729245351745256
Rastrigin,2,200,14,potential,2.1198531283015996,4.622428946413339,2.1198531283015996,0.1409325959994021,23.0,0.6583762290044134,0.22852643793248292,0.1638151589047524,0.5273928425846967
Rastrigin,2,200,14,both,1.9966618863481642,4.580096554694626,1.9966618863481642,0.15234057800080336,21.0,0.6002963332487705,0.2564372948853859,0.15151834195818603,0.33398678971840584
Rastrigin,2,200,15,none,0.7887250837410917,4.603353580300353,0.7887250837410917,0.09475489299984474,20.0,,,,
Rastrigin,2,200,15,coherence,2.8420979862257028,6.303896227701706,2.8420979862257028,0.13565478700002132,21.0,0.600874694579036,0.26266083416753705,0.11706160659618556,0.3359127329481898
Rastrigin,2,200,15,potential,0.7887250837410917,4.608312824699863,0.7887250837410917,0.1510894549992372,25.0,0.5867129960302255,0.23512140354565073,0.15168179038661347,0.288754276780651
Rastrigin,2,200,15,both,2.8420979862257028,6.303896227701706,2.8420979862257028,0.13446768799985875,21.0,0.600874694579036,0.26266083416753705,0.11706160659618556,0.3359127329481898
Rastrigin,2,200,16,none,1.9901251799602306,4.839978969462961,1.9901251799602306,0.09436513100081356,22.0,,,,
