FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.1613 | NoiseVar=5.38e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3488 | NoiseVar=5.21e-06
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.5289 | NoiseVar=1.23e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3041 | NoiseVar=5.05e-06
FIT_QUALITY | Depth=3 | N_pts=11 | R2=0.7639 | NoiseVar=6.81e-04
FIT_QUALITY | Depth=2 | N_pts=20 | R2=0.2640 | NoiseVar=1.69e-04
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.2941 | NoiseVar=2.04e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.4362 | NoiseVar=1.24e-03
FIT_QUALITY | Depth=2 | N_pts=20 | R2=0.2640 | NoiseVar=1.69e-04
FIT_QUALITY | Depth=3 | N_pts=11 | R2=0.7639 | NoiseVar=6.81e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3040 | NoiseVar=2.14e-03
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.3033 | NoiseVar=3.26e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.4898 | NoiseVar=1.27e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.1613 | NoiseVar=5.38e-05
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.2941 | NoiseVar=2.04e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.4362 | NoiseVar=1.24e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2253 | NoiseVar=2.36e-03
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.4176 | NoiseVar=1.22e-03
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.5518 | NoiseVar=1.43e-05
FIT_QUALITY | Depth=2 | N_pts=21 | R2=0.2430 | NoiseVar=1.67e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.4402 | NoiseVar=1.68e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3974 | NoiseVar=1.16e-05
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.2696 | NoiseVar=2.01e-04
FIT_QUALITY | Depth=3 | N_pts=11 | R2=0.7639 | NoiseVar=6.81e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2253 | NoiseVar=2.36e-03
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.3033 | NoiseVar=3.26e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.5518 | NoiseVar=1.43e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.1613 | NoiseVar=5.38e-05
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.2696 | NoiseVar=2.01e-04
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.4176 | NoiseVar=1.22e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.4402 | NoiseVar=1.68e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3974 | NoiseVar=1.16e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2270 | NoiseVar=2.44e-03
FIT_QUALITY | Depth=3 | N_pts=12 | R2=0.7547 | NoiseVar=6.51e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.4384 | NoiseVar=1.78e-04
FIT_QUALITY | Depth=3 | N_pts=13 | R2=0.8138 | NoiseVar=6.23e-04
FIT_QUALITY | Depth=3 | N_pts=18 | R2=0.2204 | NoiseVar=2.09e-04
FIT_QUALITY | Depth=3 | N_pts=13 | R2=0.8138 | NoiseVar=6.23e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2270 | NoiseVar=2.44e-03
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.3033 | NoiseVar=3.26e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.5518 | NoiseVar=1.43e-05
FIT_QUALITY | Depth=4 | N_pts=15 | R2=0.1613 | NoiseVar=5.38e-05
FIT_QUALITY | Depth=3 | N_pts=18 | R2=0.2204 | NoiseVar=2.09e-04
FIT_QUALITY | Depth=3 | N_pts=16 | R2=0.4176 | NoiseVar=1.22e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.4384 | NoiseVar=1.78e-04
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.3974 | NoiseVar=1.16e-05
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.3744 | NoiseVar=1.23e-03
