QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=3.92e+01 | CoeffNorm=0.25 | NoiseVar=5.07e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=4.58e+01 | CoeffNorm=0.12 | NoiseVar=1.54e-04 | Y_range=1.17e-01
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=3.92e+01 | CoeffNorm=0.25 | NoiseVar=5.07e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=4.53e+01 | CoeffNorm=0.12 | NoiseVar=1.55e-04 | Y_range=1.17e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=4.53e+01 | CoeffNorm=0.12 | NoiseVar=1.55e-04 | Y_range=1.17e-01
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=3.92e+01 | CoeffNorm=0.25 | NoiseVar=5.07e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=3.90e+01 | CoeffNorm=0.25 | NoiseVar=5.07e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=4.53e+01 | CoeffNorm=0.12 | NoiseVar=1.55e-04 | Y_range=1.17e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=3.90e+01 | CoeffNorm=0.25 | NoiseVar=5.07e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=4.68e+01 | CoeffNorm=0.12 | NoiseVar=1.51e-04 | Y_range=1.21e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=4.63e+01 | CoeffNorm=0.12 | NoiseVar=1.46e-04 | Y_range=1.21e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=4.63e+01 | CoeffNorm=0.12 | NoiseVar=1.46e-04 | Y_range=1.21e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=3.90e+01 | CoeffNorm=0.25 | NoiseVar=5.07e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=4.63e+01 | CoeffNorm=0.12 | NoiseVar=1.46e-04 | Y_range=1.21e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=3.90e+01 | CoeffNorm=0.25 | NoiseVar=5.07e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=3.90e+01 | CoeffNorm=0.25 | NoiseVar=5.02e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=4.63e+01 | CoeffNorm=0.12 | NoiseVar=1.46e-04 | Y_range=1.21e-01
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=3.90e+01 | CoeffNorm=0.25 | NoiseVar=5.02e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=3.81e+01 | CoeffNorm=0.25 | NoiseVar=4.88e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=4.63e+01 | CoeffNorm=0.12 | NoiseVar=1.46e-04 | Y_range=1.21e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=3.81e+01 | CoeffNorm=0.25 | NoiseVar=4.88e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=3.91e+01 | CoeffNorm=0.25 | NoiseVar=4.72e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=4.63e+01 | CoeffNorm=0.12 | NoiseVar=1.46e-04 | Y_range=1.21e-01
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=3.91e+01 | CoeffNorm=0.25 | NoiseVar=4.72e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=33 | Dim=5 | Cond=3.96e+01 | CoeffNorm=0.25 | NoiseVar=4.60e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=34 | Dim=5 | Cond=4.03e+01 | CoeffNorm=0.25 | NoiseVar=4.59e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=4.88e+01 | CoeffNorm=0.12 | NoiseVar=1.44e-04 | Y_range=1.21e-01
QUADRATIC FIT | N_pts=35 | Dim=5 | Cond=4.11e+01 | CoeffNorm=0.25 | NoiseVar=4.68e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=4.88e+01 | CoeffNorm=0.12 | NoiseVar=1.44e-04 | Y_range=1.21e-01
QUADRATIC FIT | N_pts=35 | Dim=5 | Cond=4.11e+01 | CoeffNorm=0.25 | NoiseVar=4.68e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=36 | Dim=5 | Cond=4.16e+01 | CoeffNorm=0.25 | NoiseVar=4.58e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=4.88e+01 | CoeffNorm=0.12 | NoiseVar=1.44e-04 | Y_range=1.21e-01
QUADRATIC FIT | N_pts=36 | Dim=5 | Cond=4.16e+01 | CoeffNorm=0.25 | NoiseVar=4.58e-04 | Y_range=2.03e-01
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=4.88e+01 | CoeffNorm=0.12 | NoiseVar=1.44e-04 | Y_range=1.21e-01
QUADRATIC FIT | N_pts=36 | Dim=5 | Cond=4.16e+01 | CoeffNorm=0.25 | NoiseVar=4.58e-04 | Y_range=2.03e-01
